Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
sandi-lovric,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,slovenia,post,No information,fast-break,12.2,65.3,0,right-foot,left,0,55.7,3.8,No information,No information,90,4,5611,65.3,12.2,44.3,0,44.3,96.2,1,689,shot
anthony-elanga,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,block,No information,assisted,19.7,66.1,0,right-foot,low-centre,0,50.8,19,No information,No information,85,No information,5069,66.1,19.7,49.2,0,49.2,81,6,331,shot
emil-forsberg,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,miss,No information,set-piece,22.2,37,0,right-foot,high-left,0,59.3,95.8,No information,No information,82,No information,4886,37,22.2,40.7,0,40.7,4.2,9,514,shot
petar-stojanovic,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,slovenia,miss,No information,corner,23.7,70.3,0,right-foot,high,0,46.4,72.2,No information,No information,75,No information,4477,70.3,23.7,53.6,0,53.6,27.8,16,923,shot
domen-crnigoj,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,slovenia,save,No information,assisted,21.5,31.5,0,right-foot,high-centre,0,51.5,25.9,No information,No information,74,No information,4432,31.5,21.5,48.5,0,48.5,74.1,17,968,shot
jon-gorenc-stankovic,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,slovenia,miss,No information,assisted,4.3,50.9,0,head,right,0,35.8,2.8,No information,No information,65,No information,3864,50.9,4.3,64.2,0,64.2,97.2,26,1536,shot
gregor-sikosek,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,slovenia,block,No information,assisted,9,29.4,0,left-foot,low-left,0,52.5,19,No information,No information,64,No information,3788,29.4,9,47.5,0,47.5,81,27,1612,shot
viktor-claesson,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,save,No information,assisted,9.6,62.3,0,right-foot,low-right,0,45.5,4.4,No information,No information,61,No information,3651,62.3,9.6,54.5,0,54.5,95.6,30,1749,shot
robin-quaison,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,miss,No information,assisted,10.6,53.1,0,head,left,0,99.8,6.9,No information,No information,61,No information,3603,53.1,10.6,0.2,0,0.2,93.1,30,1797,shot
miha-blazic,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,slovenia,miss,No information,corner,13.2,55,0,head,left,0,60.5,19.4,No information,No information,60,No information,3558,55,13.2,39.5,0,39.5,80.6,31,1842,shot
joel-andersson,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,block,No information,corner,28.7,53.6,0,right-foot,low-left,0,53.9,19,No information,No information,58,No information,3426,53.6,28.7,46.1,0,46.1,81,33,1974,shot
viktor-claesson,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,miss,No information,regular,9.5,57,0,right-foot,left,0,65.4,5.6,No information,No information,47,No information,2783,57,9.5,34.6,0,34.6,94.4,44,2617,shot
dejan-kulusevski,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,save,No information,assisted,13.8,28.8,0,left-foot,low-right,0,46.3,13.9,No information,No information,47,No information,2780,28.8,13.8,53.7,0,53.7,86.1,44,2620,shot
emil-forsberg,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,goal,regular,fast-break,17.6,48.4,0,right-foot,low-right,0,45.8,3.8,No information,No information,42,No information,2462,48.4,17.6,54.2,0,54.2,96.2,4,238,shot
viktor-claesson,https://www.sofascore.com/sweden-slovenia/JObsNTb#id:10023424,sweden,save,No information,assisted,12.1,57.3,0,head,high-centre,0,50,20.3,No information,No information,36,No information,2152,57.3,12.1,50,0,50,79.7,10,548,shot
