Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
rodrigo,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,block,No information,assisted,10.8,66,0,left-foot,low-centre,0,51,19,No information,No information,90,3,5577,66,10.8,49,0,49,81,1,723,shot
rodrigo,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,block,No information,assisted,13,38.6,0,left-foot,low-centre,0,50.8,19,No information,No information,83,No information,4949,38.6,13,49.2,0,49.2,81,8,451,shot
georgios-tzavellas,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,greece,miss,No information,set-piece,8.3,46.6,0,head,right,0,34.8,12.5,No information,No information,79,No information,4714,46.6,8.3,65.2,0,65.2,87.5,12,686,shot
rodri,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,miss,No information,assisted,24.3,31.8,0,right-foot,high,0,50.1,63.9,No information,No information,74,No information,4419,31.8,24.3,49.9,0,49.9,36.1,17,981,shot
rodrigo,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,miss,No information,assisted,14,71.5,0,left-foot,close-right,0,42,2.8,No information,No information,68,No information,4040,71.5,14,58,0,58,97.2,23,1360,shot
tzolis-christos,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,greece,block,No information,assisted,12.2,36.5,0,right-foot,low-left,0,52,19,No information,No information,54,No information,3186,36.5,12.2,48,0,48,81,37,2214,shot
raul-de-tomas,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,block,No information,assisted,24.9,40.8,0,right-foot,low-left,0,54.3,19,No information,No information,49,No information,2911,40.8,24.9,45.7,0,45.7,81,42,2489,shot
rodri,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,block,No information,regular,21.2,42.3,0,left-foot,low-centre,0,49.9,19,No information,No information,38,No information,2274,42.3,21.2,50.1,0,50.1,81,8,426,shot
alvaro-morata,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,save,No information,assisted,4.7,35.3,0,left-foot,low-centre,0,50.8,7,No information,No information,36,No information,2119,35.3,4.7,49.2,0,49.2,93,10,581,shot
jose-luis-gaya,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,save,No information,corner,30.3,36.3,0,left-foot,low-centre,0,51,12,No information,No information,29,No information,1738,36.3,30.3,49,0,49,88,17,962,shot
pablo-sarabia,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,goal,penalty,penalty,11.5,50,0,left-foot,low-right,0,46.9,6.3,No information,No information,26,No information,1513,50,11.5,53.1,0,53.1,93.7,20,1187,shot
aymeric-laporte,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,block,No information,corner,8.1,52.2,0,head,low-centre,0,50.3,19,No information,No information,24,No information,1388,52.2,8.1,49.7,0,49.7,81,22,1312,shot
raul-de-tomas,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,block,No information,assisted,12,43.1,0,left-foot,low-centre,0,51,19,No information,No information,23,No information,1352,43.1,12,49,0,49,81,23,1348,shot
pablo-sarabia,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,spain,miss,No information,assisted,7.4,38.9,0,left-foot,left,0,73.3,5.6,No information,No information,4,No information,210,38.9,7.4,26.7,0,26.7,94.4,42,2490,shot
athanasios-androutsos,https://www.sofascore.com/greece-spain/YTbskUb#id:9223888,greece,save,No information,assisted,13.8,50.3,0,head,low-centre,0,50.2,9.5,No information,No information,3,No information,159,50.3,13.8,49.8,0,49.8,90.5,43,2541,shot

cristiano-ronaldo,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,portugal,save,No information,assisted,5.9,67.8,0,right-foot,low-right,0,46.4,1.9,No information,No information,90,No information,5393,67.8,5.9,53.6,0,53.6,98.1,1,7,shot
alvaro-morata,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,goal,regular,assisted,2.1,50.5,0,left-foot,high-centre,0,50.1,24.7,No information,No information,88,No information,5252,50.5,2.1,49.9,0,49.9,75.3,3,148,shot
nico-williams,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,save,No information,assisted,21.8,72.8,0,left-foot,low-right,0,47.1,3.2,No information,No information,84,No information,5012,72.8,21.8,52.9,0,52.9,96.8,7,388,shot
alvaro-morata,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,save,No information,assisted,24.2,58.5,0,left-foot,low-left,0,52.7,1.3,No information,No information,77,No information,4572,58.5,24.2,47.3,0,47.3,98.7,14,828,shot
nico-williams,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,save,No information,assisted,14.7,25.8,0,right-foot,low-right,0,47.1,1.3,No information,No information,74,No information,4385,25.8,14.7,52.9,0,52.9,98.7,17,1015,shot
alvaro-morata,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,save,No information,assisted,10,31,0,left-foot,low-centre,0,51.1,2.5,No information,No information,71,No information,4229,31,10,48.9,0,48.9,97.5,20,1171,shot
ferran-torres,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,block,No information,assisted,20.8,30.5,0,right-foot,low-right,0,46.5,19,No information,No information,71,No information,4206,30.5,20.8,53.5,0,53.5,81,20,1194,shot
ruben-dias,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,portugal,miss,No information,corner,8.3,44.9,0,head,high-left,0,57.5,62.5,No information,No information,70,No information,4169,44.9,8.3,42.5,0,42.5,37.5,21,1231,shot
ruben-dias,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,portugal,block,No information,set-piece,8.5,61.2,0,right-foot,low-centre,0,48.5,19,No information,No information,69,No information,4128,61.2,8.5,51.5,0,51.5,81,22,1272,shot
rodri,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,miss,No information,corner,8.8,61.8,0,head,high-right,0,42.2,77.8,No information,No information,66,No information,3955,61.8,8.8,57.8,0,57.8,22.2,25,1445,shot
carlos-soler,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,spain,miss,No information,assisted,28.7,52.7,0,right-foot,high-right,0,43.5,79.2,No information,No information,56,No information,3357,52.7,28.7,56.5,0,56.5,20.8,35,2043,shot
william-carvalho,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,portugal,block,No information,regular,15.5,43.5,0,right-foot,low-centre,0,51.3,16.7,No information,No information,48,No information,2868,43.5,15.5,48.7,0,48.7,83.3,43,2532,shot
cristiano-ronaldo,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,portugal,save,No information,assisted,8.3,37.1,0,left-foot,low-centre,0,51.5,3.8,No information,No information,47,No information,2795,37.1,8.3,48.5,0,48.5,96.2,44,2605,shot
bruno-fernandes,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023338,portugal,miss,No information,assisted,24.1,36.3,0,left-foot,close-left,0,56.3,23.6,No information,No information,37,No information,2217,36.3,24.1,43.7,0,43.7,76.4,9,483,shot
