Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
kenan-karaman,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,block,No information,corner,8.3,49.4,0,right-foot,low-centre,0,50.3,19,No information,No information,90,4,5582,49.4,8.3,49.7,0,49.7,81,1,718,shot
mert-muldur,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,save,No information,corner,10.7,44,0,right-foot,low-centre,0,50.1,10.1,No information,No information,89,No information,5338,44,10.7,49.9,0,49.9,89.9,2,62,shot
burak-yilmaz,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,miss,No information,corner,6.3,52.2,0,head,right,0,38.7,11.1,No information,No information,83,No information,4962,52.2,6.3,61.3,0,61.3,88.9,8,438,shot
yusuf-yazici,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,block,No information,assisted,23.8,63.7,0,left-foot,low-centre,0,50.6,19,No information,No information,83,No information,4939,63.7,23.8,49.4,0,49.4,81,8,461,shot
ruben-vargas,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,block,No information,regular,14.7,53.6,0,right-foot,low-centre,0,49.2,19,No information,No information,80,No information,4795,53.6,14.7,50.8,0,50.8,81,11,605,shot
breel-embolo,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,block,No information,assisted,19,69,0,right-foot,low-centre,0,50.7,19,No information,No information,80,No information,4791,69,19,49.3,0,49.3,81,11,609,shot
cengiz-under,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,türkiye,miss,No information,assisted,23.5,37.6,0,left-foot,close-high,0,47.2,56.9,No information,No information,79,No information,4731,37.6,23.5,52.8,0,52.8,43.1,12,669,shot
granit-xhaka,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,post,No information,free-kick,18.2,51.2,0,left-foot,right,0,44.8,7.6,No information,No information,77,No information,4601,51.2,18.2,55.2,0,55.2,92.4,14,799,shot
xherdan-shaqiri,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,goal,regular,assisted,13.2,56.1,0,left-foot,high-centre,0,50.6,29.7,No information,No information,68,No information,4042,56.1,13.2,49.4,0,49.4,70.3,23,1358,shot
steven-zuber,https://www.sofascore.com/football/match/turkiye-switzerland/ZTbsaUb#id:8513127,switzerland,miss,No information,assisted,23.9,29.9,0,right-foot,close-right,0,42.2,18.1,No information,No information,65,No information,3892,29.9,23.9,57.8,0,57.8,81.9,26,1508,shot
