Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
andriy-yarmolenko,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ukraine,miss,No information,assisted,12.5,46.8,0,left-foot,left,0,64.9,9.7,No information,No information,90,1,5425,46.8,12.5,35.1,0,35.1,90.3,1,875,shot
conor-hourihane,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ireland,miss,No information,assisted,28.5,48,0,left-foot,high-left,0,61.3,55.6,No information,No information,69,No information,4111,48,28.5,38.7,0,38.7,44.4,22,1289,shot
shaparenko-mykola,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ukraine,block,No information,free-kick,23.4,33.5,0,right-foot,low-centre,0,49.5,19,No information,No information,66,No information,3928,33.5,23.4,50.5,0,50.5,81,25,1472,shot
jason-knight,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ireland,save,No information,assisted,26.5,25.9,0,right-foot,low-left,0,53.6,10.1,No information,No information,61,No information,3639,25.9,26.5,46.4,0,46.4,89.9,30,1761,shot
troy-parrott,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ireland,block,No information,assisted,13.9,32.7,0,left-foot,low-left,0,51.8,19,No information,No information,60,No information,3546,32.7,13.9,48.2,0,48.2,81,31,1854,shot
darragh-lenihan,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ireland,miss,No information,set-piece,8.8,31,0,right-foot,close-high-left,0,57.8,52.8,No information,No information,50,No information,2956,31,8.8,42.2,0,42.2,47.2,41,2444,shot
artem-dovbyk,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ukraine,goal,regular,assisted,4.2,46.8,0,left-foot,low-left,0,52.8,3.2,No information,No information,47,No information,2791,46.8,4.2,47.2,0,47.2,96.8,44,2609,shot
vitaliy-mykolenko,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ukraine,miss,No information,assisted,12.4,51,0,head,right,0,32.3,4.2,No information,No information,45,3,2878,51,12.4,67.7,0,67.7,95.8,1,2522,shot
oleksandr-zinchenko,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ukraine,miss,No information,assisted,13.3,53.4,0,right-foot,left,0,65.5,5.6,No information,No information,44,No information,2614,53.4,13.3,34.5,0,34.5,94.4,2,86,shot
jason-knight,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,ireland,save,No information,assisted,22.1,56.3,0,right-foot,low-left,0,52.6,5.1,No information,No information,38,No information,2243,56.3,22.1,47.4,0,47.4,94.9,8,457,shot
